HOLEID,PROJECTCODE,SAMPLENO,FROM,TO,MidEast,MidNorth,MidRL,SAMPLETYPE,PRIORITY,Au_ppb,Zn_pct
19DD0002,CU_CLIFF,40377751,6.25,8.25,101616.3814,2189172.1,1238.330144,QuarterCore,1,24,0.00745
19DD0002,CU_CLIFF,40377752,8.25,10.36,101616.3194,2189171.749,1236.306364,QuarterCore,1,58,0.00598
19DD0002,CU_CLIFF,40377753,10.36,12,101616.2589,2189171.433,1234.45919,QuarterCore,1,17,0.0085
19DD0002,CU_CLIFF,40377754,12,14,101616.1953,2189171.132,1232.665377,QuarterCore,1,4,0.00839
19DD0002,CU_CLIFF,40377755,14,16,101616.1253,2189170.801,1230.694154,QuarterCore,1,4,0.00268
19DD0002,CU_CLIFF,40377756,16,18,101616.0554,2189170.47,1228.722931,QuarterCore,1,7,0.00193
19DD0002,CU_CLIFF,40377757,18,20,101615.9855,2189170.14,1226.751708,QuarterCore,1,7,0.00921
19DD0002,CU_CLIFF,40377758,20,22,101615.9127,2189169.813,1224.779968,QuarterCore,1,18,0.00158
19DD0002,CU_CLIFF,40377759,22,24,101615.837,2189169.489,1222.807711,QuarterCore,1,8,0.0022
19DD0002,CU_CLIFF,40377761,24,26,101615.7614,2189169.166,1220.835454,QuarterCore,1,10,0.00898
19DD0002,CU_CLIFF,40377762,26,27.59,101615.6935,2189168.876,1219.065354,QuarterCore,1,10,0.00616
19DD0002,CU_CLIFF,40377763,27.59,29,101615.6368,2189168.634,1217.586161,QuarterCore,1,4,0.00056
19DD0002,CU_CLIFF,40377765,29,30,101615.5912,2189168.439,1216.397877,QuarterCore,1,2,0.00072
19DD0002,CU_CLIFF,40377766,30,31.23,101615.5474,2189168.261,1215.298024,QuarterCore,1,1,0.00073
19DD0002,CU_CLIFF,40377767,31.23,31.77,101615.5116,2189168.121,1214.42484,QuarterCore,1,8,0.00155
19DD0002,CU_CLIFF,40377768,31.77,33,101615.4758,2189167.982,1213.551656,QuarterCore,1,4,0.0006
19DD0002,CU_CLIFF,40377769,33,35,101615.4105,2189167.727,1211.958219,QuarterCore,1,6,0.00282
19DD0002,CU_CLIFF,40377771,35,36.39,101615.3419,2189167.46,1210.28585,QuarterCore,1,9,0.0126
19DD0002,CU_CLIFF,40377772,36.39,38,101615.2812,2189167.223,1208.805877,QuarterCore,1,3,0.00207
19DD0002,CU_CLIFF,40377773,38,39.86,101615.211,2189166.949,1207.094042,QuarterCore,1,11,0.00284
19DD0002,CU_CLIFF,40377774,39.86,41,101615.1488,2189166.715,1205.613808,QuarterCore,1,1,0.00078
19DD0002,CU_CLIFF,40377775,41,43,101615.0813,2189166.473,1204.064049,QuarterCore,1,1,0.00153
19DD0002,CU_CLIFF,40377776,43,44,101615.0167,2189166.241,1202.583387,QuarterCore,1,0.5,0.00353
19DD0002,CU_CLIFF,40377777,44,45.42,101614.9646,2189166.055,1201.388987,QuarterCore,1,0.5,0.0105
19DD0002,CU_CLIFF,40377778,45.42,48,101614.8786,2189165.746,1199.414772,QuarterCore,1,1,0.00072
19DD0002,CU_CLIFF,40377779,48,50,101614.78,2189165.393,1197.154295,QuarterCore,1,0.5,0.00856
19DD0002,CU_CLIFF,40377781,50,51.92,101614.6949,2189165.093,1195.219374,QuarterCore,1,2,0.0006
19DD0002,CU_CLIFF,40377782,51.92,54,101614.6072,2189164.787,1193.244763,QuarterCore,1,0.5,0.00081
19DD0002,CU_CLIFF,40377783,54,57,101614.4957,2189164.4,1190.737006,QuarterCore,1,0.5,0.0022
19DD0002,CU_CLIFF,40377785,57,60,101614.3641,2189163.942,1187.775089,QuarterCore,1,0.5,0.00234
19DD0002,CU_CLIFF,40377786,60,63,101614.2325,2189163.485,1184.812914,QuarterCore,1,0.5,0.00188
19DD0002,CU_CLIFF,40377787,63,66,101614.101,2189163.031,1181.85048,QuarterCore,1,0.5,0.00175
19DD0002,CU_CLIFF,40377788,66,69,101613.9694,2189162.576,1178.888046,QuarterCore,1,0.5,0.00255
19DD0002,CU_CLIFF,40377789,69,72,101613.8379,2189162.123,1175.925369,QuarterCore,1,0.5,0.00218
19DD0002,CU_CLIFF,40377791,72,75,101613.7065,2189161.672,1172.962449,QuarterCore,1,0.5,0.00224
19DD0002,CU_CLIFF,40377792,75,78,101613.575,2189161.22,1169.999529,QuarterCore,1,1,0.00227
19DD0002,CU_CLIFF,40377793,78,81,101613.4436,2189160.77,1167.036359,QuarterCore,1,0.5,0.00216
19DD0002,CU_CLIFF,40377794,81,82.5,101613.3451,2189160.434,1164.813793,QuarterCore,1,0.5,0.00201
19DD0002,CU_CLIFF,40377795,82.5,83.48,101613.2908,2189160.249,1163.588913,QuarterCore,1,0.5,0.00248
19DD0002,CU_CLIFF,40377796,83.48,85,101613.2361,2189160.062,1162.354155,QuarterCore,1,0.5,0.00215
19DD0002,CU_CLIFF,40377797,85,87.61,101613.1457,2189159.754,1160.314334,QuarterCore,1,0.5,0.00112
19DD0002,CU_CLIFF,40377798,87.61,90,101613.0359,2189159.382,1157.844621,QuarterCore,1,3,0.0029
19DD0002,CU_CLIFF,40377799,90,93,101612.917,2189158.982,1155.182039,QuarterCore,1,3,0.00282
19DD0002,CU_CLIFF,40377801,93,96,101612.7848,2189158.537,1152.218126,QuarterCore,1,0.5,0.00148
