HoleID,Project,Depth,SurveyInstrument,Azimuth,Dip,Priority
AA001,Atamai,0,SingleShot,273.2,-69.21,1
AA001,Atamai,10,SingleShot,272.6,-68.68,1
AA001,Atamai,20,SingleShot,273.1,-69.09,1
AA001,Atamai,30,SingleShot,273.7,-69.45,1
AA001,Atamai,40,SingleShot,274.7,-69.62,1
AA001,Atamai,50,SingleShot,274.4,-69.46,1
AA001,Atamai,60,SingleShot,274.9,-70.12,1
AA001,Atamai,70,SingleShot,274.6,-70.32,1
AA001,Atamai,80,SingleShot,274.8,-70.92,1
AA001,Atamai,90,SingleShot,274.7,-71.39,1
AA001,Atamai,100,SingleShot,275,-71.56,1
AA001,Atamai,110,SingleShot,274.6,-71.01,1
AA001,Atamai,120,SingleShot,274.5,-70.79,1
AA001,Atamai,130,SingleShot,273.8,-70.62,1
AA001,Atamai,140,SingleShot,273.8,-71.21,1
AA001,Atamai,150,SingleShot,273.9,-71.74,1
AA001,Atamai,160,SingleShot,274.4,-71.73,1
AA001,Atamai,170,SingleShot,275.1,-71.52,1
AA001,Atamai,180,SingleShot,275.3,-71.43,1
AA001,Atamai,190,SingleShot,275.5,-71.37,1
AA001,Atamai,200,SingleShot,275.6,-71.21,1
AA001,Atamai,210,SingleShot,276.2,-70.97,1
AA001,Atamai,220,SingleShot,277,-70.67,1
AA001,Atamai,230,SingleShot,277.3,-70.42,1
AA001,Atamai,240,SingleShot,277.6,-70.12,1
AA001,Atamai,250,SingleShot,277.7,-69.89,1
AA001,Atamai,260,SingleShot,277.7,-69.56,1
AA001,Atamai,270,SingleShot,278.2,-69.37,1
AA001,Atamai,280,SingleShot,278.3,-69.23,1
AA001,Atamai,290,SingleShot,279,-69.15,1
AA001,Atamai,300,SingleShot,279.5,-69.03,1
AA001,Atamai,310,SingleShot,279.7,-68.92,1
AA001,Atamai,320,SingleShot,279.8,-68.72,1
AA001,Atamai,330,SingleShot,280.1,-68.53,1
AA001,Atamai,340,SingleShot,280.6,-68.43,1
AA001,Atamai,350,SingleShot,281.4,-68.29,1
AA001,Atamai,360,SingleShot,281.7,-68.18,1
AA001,Atamai,370,SingleShot,282.2,-68.02,1
AA001,Atamai,380,SingleShot,282.4,-67.81,1
AA001,Atamai,390,SingleShot,283,-67.73,1
AA001,Atamai,400,SingleShot,283.7,-67.63,1
AA001,Atamai,410,SingleShot,284.4,-67.54,1
AA001,Atamai,420,SingleShot,284.5,-67.33,1
AA001,Atamai,428,SingleShot,284.5,-67.23,1
