PROBESITENAME,REFERENCEMINERAL,FeO_pct,MgO_pct,Al2O3_pct,MnO_pct,TiO2_pct,Cr2O3_pct,SiO2_pct,CaO_pct,Fe2O3_pct,NiO_pct,ZnO_pct,Na2O_pct,K2O_pct,RawTotal_pct,Total_pct,Nb2O5_pct,V2O5_pct,V2O3_pct,ZrO2_pct,ThO2_pct,U_pct,PO2_pct,Hf_pct,Nd2O3_pct,La2O3_pct,Ce2O3_pct
3,Garnet,24.81,1.33,20.24,15.78,0,0.14,35.35,0.66,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Garnet,5.65,0.14,20.45,1.97,0.44,0.08,38.22,30.15,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Garnet,18.22,12.5,22.48,0.97,0,0,40.42,6,0,0,0,0,0,0,100.6,0,0,0,0,0,0,0,0,0,0,0
26,Garnet,8.16,0.12,20.18,2.45,0.33,0.04,37.4,28.15,0,0.11,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Garnet,7.97,0.3,20.8,1.62,0.05,0.07,37.28,27.69,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Garnet,17.38,9.6,22.03,0.44,0.29,0.08,38.96,9.31,0,0.22,0.14,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0
9,Garnet,17.99,12,22.34,0.38,0.12,0.15,38.23,5.28,0,0,0,0.22,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0
19,Garnet,1.06,0.06,22.15,0.5,0.02,0.25,38.67,34.16,0,0,0,0.23,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0
14,Garnet,17.97,4.23,20.98,0.51,0,0.03,35.58,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Garnet,26.43,9.72,22.15,0.63,0.24,0,37.8,1.96,0,0.29,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Garnet,15.49,13.52,22.21,0.22,0.05,0.04,38.39,7.01,0,0.11,0.14,0.12,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Garnet,2.1,0.27,21.3,0.56,0.17,0.12,38.13,33.76,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Garnet,2.37,0.4,21.82,0.45,0.25,0.21,38.89,33.47,0,0.01,0.12,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0
29,Garnet,27.75,2.51,20.7,9.4,0.12,0.03,35.46,1.06,0,0,0,0,0.13,0,0,0,0,0.07,0,0,0,0,0,0,0,0
10,Garnet,4.52,0.03,19.58,1.38,0.1,0.04,37.03,31.8,0,0,0,0.11,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
37,Garnet,13.73,1.77,20.15,26.25,0.06,0.06,35.75,0.58,0,0.16,0,0.08,0.07,0,0,0,0,0.06,0,0,0,0,0,0,0,0
21,Garnet,28.04,8.44,21.14,0.87,0.29,0.04,36.23,2.21,0,0.1,0.23,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Garnet,19.88,11.1,21.79,0.52,0.03,0,38.13,5.62,0,0.2,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
21,Garnet,14.52,1.07,19.34,26.26,0.02,0.06,33.31,0.43,0,0.01,0.07,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Garnet,0.71,0.3,22.85,0.05,0.15,0.3,38.66,34.7,0,0.04,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Garnet,1.33,0.11,22.36,0.24,0.27,0.06,38.49,34.35,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Garnet,18.22,12.5,0,0,0,0,40.42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Garnet,18.95,9.11,22.11,0.56,0.13,0.03,37.95,7.86,0,0.04,0.01,0,0.14,0,0,0,0,0.12,0,0,0,0,0,0,0,0
46,Garnet,1.36,0.34,22.26,0.46,0.15,0.28,38.75,34.29,0,0,0.09,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
51,Garnet,1.14,0.21,22.54,0.26,0.29,0.12,38.94,34.43,0,0.04,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Garnet,23.79,10.87,22.04,0.21,0.06,0,37.74,2.46,0,0.17,0.26,0,0.02,0,0,0,0,0.14,0,0,0,0,0,0,0,0
