Sample#,Grain#,Mineral Identification,Mineral,TiO2,Cr2O3,FeO,MgO,CaO,SiO2,Al2O3,Na2O,MnO,Total,NiO,ZnO
NAT96-188,13,Al-Mg-Cr-Fe_  SPINEL,Chromite,0.06,14.66,11.88,24.51,0,0,52.81,0,0.11,104.48,0.35,0.1
SB94-15,117,SPINEL  ,Chromite,0.01,0.04,7.25,24.42,0,0.03,70.73,0,0.16,102.65,,
PR95-11,108,SPINEL  ,Chromite,0.04,0.05,4.3,26.49,0,0,71.16,0,0.08,102.13,,
NAT95-126,14,SPINEL  ,Chromite,0,0.03,5.35,26.04,0,0,69.39,0,0.02,100.85,,
NAT95-126,16,UNKNOWN  Spinel?,Chromite,0,0.03,14.05,18.29,0.03,0,67.99,0,0.28,100.68,,
NAT96-186,10,PICRO_CHROMITE  ,Chromite,0.19,40.7,14.28,18.34,0,0.01,26.73,0,0.19,100.67,0.13,0.09
PR95-11,106,SPINEL  ,Chromite,0,0.11,5.79,24.54,0.02,0,70.08,0,0.08,100.62,,
NAT96-196,48,PICRO_CHROMITE  ,Chromite,0.09,61.5,17.18,12.3,0,0,8.99,0,0.31,100.57,0.03,0.13
NAT96-186,11,SUB_PICRO_CHROMITE  ,Chromite,0.02,31.44,16.42,17.59,0.03,0,34.55,0,0.18,100.56,0.13,0.2
NAT96-213,21,SUB_PICRO_CHROMITE  ,Chromite,0.23,38.03,21.97,13.52,0,0.01,25.78,0,0.32,100.36,0.08,0.42
NAT96-199,56,PICRO_CHROMITE  ,Chromite,0.43,40.4,24.89,12.8,0,0,21.11,0,0.3,100.21,0.09,0.19
NAT95-130,42,SPINEL  ,Chromite,0.02,0.05,4.03,23.89,0,0,72.01,0,0.16,100.18,,
NAT96-196,41,PICRO_CHROMITE  ,Chromite,0.19,58.3,20.12,13.16,0,0,7.68,0,0.4,100.11,0.16,0.06
NAT96-210,61,PICRO_CHROMITE  ,Chromite,0.5,50.98,23.26,15.03,0,0,9.86,0,0.27,100.07,0.1,0.06
NAT96-196,37,SUB_PICRO_CHROMITE  ,Chromite,0.55,37.68,22.99,14.37,0,0,23.97,0,0.26,100.05,0.17,0.07
PR95-11,597,SPINEL  ,Chromite,0.04,0.07,2.82,24.23,0,0.03,72.76,0,0.07,100.02,,
NAT96-196,42,PICRO_CHROMITE  ,Chromite,0.56,57.51,19.44,14.01,0.01,0,8,0,0.3,99.98,0.07,0.06
NAT96-174,17,PICRO_CHROMITE  ,Chromite,0.1,62.22,15.1,16.25,0,0,5.91,0,0.18,99.97,0.16,0.03
NAT96-199,58,SUB_PICRO_CHROMITE  ,Chromite,1.76,39.3,25.27,15.1,0,0,17.93,0,0.23,99.94,0.27,0.07
NAT96-184,9,PICRO_CHROMITE  ,Chromite,1.24,46.47,20.06,16.41,0.03,0.05,15.14,0,0.2,99.87,0.22,0.05
NAT96-181,8,PICRO_CHROMITE  ,Chromite,0.03,40.42,24.16,12.55,0,0,21.92,0,0.35,99.77,0.1,0.24
NAT96-196,45,PICRO_CHROMITE  ,Chromite,0.43,56.9,21.29,13.59,0.01,0,7.06,0,0.28,99.77,0.14,0.07
NAT96-196,47,PICRO_CHROMITE  ,Chromite,0.23,56.01,18.04,15.07,0,0,9.91,0,0.29,99.77,0.17,0.04
NAT96-211,64,SUB_PICRO_CHROMITE  ,Chromite,0.75,31.89,17.55,17.54,0.03,0,31.49,0,0.17,99.75,0.26,0.04
NAT95-129,39,SPINEL  ,Chromite,0.02,0.32,3.07,24.5,0.02,0,71.71,0.01,0.07,99.72,,
NAT96-173,2,PICRO_CHROMITE  ,Chromite,0.04,61.28,16.83,13.17,0.01,0,7.91,0,0.31,99.7,0.05,0.11
NAT96-196,49,PICRO_CHROMITE  ,Chromite,0.84,51.27,22.85,14.12,0,0,10.12,0,0.24,99.7,0.13,0.06
NAT96-196,50,PICRO_CHROMITE  ,Chromite,0.75,52.82,22.24,13.92,0.01,0,9.35,0,0.23,99.58,0.12,0.06
NAT96-199,53,PICRO_CHROMITE  ,Chromite,0.08,54.85,25.51,9.73,0,0,8.76,0,0.38,99.55,0.07,0.18
NAT96-192,35,PICRO_CHROMITE  ,Chromite,0.3,50.87,25.04,12.22,0.01,0,10.26,0,0.44,99.5,0.09,0.04
NAT96-199,59,CHROMITE  ,Chromite,1.97,29.03,27.05,14.72,0,0,26.22,0,0.16,99.45,0.22,0.07
NAT96-196,52,PICRO_CHROMITE  ,Chromite,0.6,55.49,20.24,14.19,0.01,0,8.4,0,0.27,99.41,0.13,0.06
NAT96-189,34,PICRO_CHROMITE  ,Chromite,0.03,56.99,21.29,10.46,0,0,10.03,0,0.34,99.4,0.06,0.22
NAT96-179,12,PICRO_CHROMITE  ,Chromite,1.41,45.59,19.75,16.39,0,0,15.73,0,0.21,99.39,0.22,0.04
NAT95-131,49,SPINEL  ,Chromite,0.01,0,4.89,22.82,0.03,0,71.38,0,0.27,99.39,,
