X_LL,Y_LL,Sample#,Grain#,Mineral Identification,Mineral,TiO2,Cr2O3,FeO,MgO,CaO,SiO2,Al2O3,Na2O,MnO,Total,NiO,ZnO,Class
-115.799051,56.452099,PR95-11,592,ALMANDINE  ,Garnet,0.08,0.1,31.2,4.49,4.66,37.91,22.07,0,0.35,100.85,,,B
-115.753433,56.847983,NAT95-134,71,G_09_CHROME_PYROPE  ,Garnet,0.03,5.65,7.96,18.6,6.01,41.25,20.63,0.04,0.49,100.67,,,A
-116.896667,56.689722,NAT95-143,602,G_09_CHROME_PYROPE  ,Garnet,0,4.78,7.84,18.46,5.92,41.92,21.17,0,0.48,100.57,,,A
-115.75395,56.847233,NAT96-216,97,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.08,0,29.89,2.27,8,38.17,21.06,0,1.07,100.55,,,A
-115.753433,56.847983,NAT95-134,73,G_09_CHROME_PYROPE  ,Garnet,0.35,4.52,8.31,18.79,5.71,41.37,21.02,0.05,0.42,100.55,,,E
-115.75395,56.847233,NAT96-216,46,G_09_CHROME_PYROPE  ,Garnet,0.04,4.77,7.82,18.8,5.58,42.4,20.55,0.03,0.52,100.51,,,D
-118.24205,54.715566,NAT97-223,20,G_03_CALCIC_PYROPE_ALMANDINE  ,Garnet,0.15,0.02,16.67,9.08,11.7,39.38,23.12,0.02,0.36,100.5,,,A
-115.75395,56.847233,NAT96-216,10,G_09_CHROME_PYROPE  ,Garnet,0.29,4.45,8.37,18.8,5.32,42.41,20.33,0.06,0.43,100.46,,,D
-115.753433,56.847983,NAT95-134,610,ALMANDINE  ,Garnet,0.08,0.05,30.58,6.2,2.32,38.31,22.47,0,0.45,100.45,,,D
-115.753433,56.847983,NAT95-134,74,G_09_CHROME_PYROPE  ,Garnet,0.05,4.73,7.23,18.92,5.76,41.87,21.39,0.03,0.46,100.45,,,A
-117.616137,55.142215,SB94-15,547,G_03_CALCIC_PYROPE_ALMANDINE  ,Garnet,0.07,0,22.06,7.33,8.92,39.2,22.4,0.01,0.43,100.42,,,B
-118.168241,54.575267,NAT96-159,1,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.37,6.68,4.23,0.2,33.39,39.14,15.72,0.02,0.62,100.37,,,D
-114.73386,56.215773,NAT95-131,639,ALMANDINE  ,Garnet,0,0.05,35.65,3.45,2.04,37.19,21.69,0,0.27,100.34,,,E
-115.75395,56.847233,NAT96-216,52,G_09_CHROME_PYROPE  ,Garnet,0,3.93,7.97,19.24,5.26,42.34,20.94,0.04,0.57,100.29,,,A
-117.723489,55.419501,PR95-3A,633,G_09_CHROME_PYROPE  ,Garnet,0.34,5.88,7.7,19.68,5.29,41.05,19.95,0.02,0.38,100.29,,,E
-115.75395,56.847233,NAT96-216,42,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0.11,7.18,7.95,17.27,7.05,41.77,18.41,0.03,0.52,100.29,,,E
