Sample#,Grain#,Mineral Identification,Mineral,TiO2,Cr2O3,FeO,MgO,CaO,SiO2,Al2O3,Na2O,MnO,Total,NiO,ZnO
NAT97-161,21,PICRO_ILMENITE  ,Ilmenite,54.76,1.04,29.01,15.59,0.01,0.04,0.56,,0.24,101.35,0.1,0
NAT97-169,3,PICRO_ILMENITE  ,Ilmenite,51.61,1.09,32.12,14.48,0.1,0,0.65,,0.23,100.46,0.13,0.05
NAT97-169,4,PICRO_ILMENITE  ,Ilmenite,51.86,1.07,30.83,14.98,0.02,0,0.7,,0.23,99.8,0.11,0
NAT97-169,2,PICRO_ILMENITE  ,Ilmenite,50.43,1.01,34.82,12.2,0.06,0.03,0.51,,0.27,99.46,0.07,0.06
NAT97-169,8,PICRO_ILMENITE  ,Ilmenite,50.6,1.01,34.61,12.26,0.03,0.03,0.49,,0.29,99.42,0.07,0.02
NAT97-160,20,PICRO_ILMENITE  ,Ilmenite,52.87,0.61,30.97,13.79,0.02,0.08,0.52,,0.21,99.1,0.03,0.01
NAT97-169,7,PICRO_ILMENITE  ,Ilmenite,50.57,1,34.6,11.8,0.04,0.03,0.48,,0.21,98.89,0.11,0.05
NAT97-223,1,PICRO_ILMENITE  ,Ilmenite,51.51,1.08,31.58,13.52,0.01,0,0.54,,0.24,98.56,0.09,0
NAT97-169,6,PICRO_ILMENITE  ,Ilmenite,50.23,1.1,34.56,11.6,0,0,0.53,,0.31,98.46,0.12,0
NAT95-123,8,ILMENITE  ,Ilmenite,59.38,0.01,31.09,0.12,0.13,0.7,0.39,0,1.08,92.9,,
