X_LL,Y_LL,Zr_ppm,Zn_ppm,Y_ppm,W_ppm,V_ppm,U_ppm,Tl_ppm,Ti_pct,Th_ppm,Te_ppm,Sr_ppm,Ta_ppm,Sn_ppm,Se_ppm,Sc_ppm,Sb_ppm,S_pct,Re_ppm,Rb_ppm,Pb_ppm,P_ppm,Ni_ppm,Nb_ppm,Na_pct,Mo_ppm,Mn_ppm,Mg_pct,Li_ppm,La_ppm,K_pct,In_ppm,Hf_ppm,Ge_ppm,Ga_ppm,Fe_pct,Cu_ppm,Cs_ppm,Cr_ppm,Co_ppm,Ce_ppm,Cd_ppm,Ca_pct,Bi_ppm,Be_ppm,Ba_ppm,Au_ppm,As_ppm,Al_pct,Ag_ppm,aiMineral1_Unity,Domain
169.351978,-46.39526006,110,142,9.3,7.7,130,3.9,2.13,0.374,16.65,1.55,80.7,0.63,3.7,2,16,63,0.08,0.001,254,125.5,540,3.1,9.1,0.53,1.7,159,0.53,7,20.8,3.48,2.24,2.7,0.09,23,6.65,275,7.35,21,1,41.8,1.29,0.17,4.68,1.44,1100,0.036,131,8.18,2.23,White mica,D
168.9639911,-46.5842342,113.5,300,16.7,7.9,123,6.9,1.09,0.383,18,0.68,265,0.67,2.1,1,16.4,4.5,0.07,0.001,107,417,620,4.1,9.4,2.32,1.52,362,1.03,15.1,22.7,1.43,1.655,2.9,0.1,23.4,3.32,584,6.11,17,1.7,47.7,2.09,0.34,3.21,1.46,580,0.012,40.5,8.87,2.79,White mica,D
169.1258374,-46.35605076,116,246,9.7,9.8,131,5.8,1.55,0.404,18.3,1.33,206,0.67,4.2,2,18.7,51.6,0.14,0.001,184,679,640,1.9,9.1,1.03,1.02,178,0.71,13.8,32,2.47,2.89,3,0.1,25.2,3.64,471,11,16,0.8,66.3,0.73,0.15,7.11,1.53,790,0.023,95.5,8.89,1.61,White mica,D
168.8323656,-46.54805066,109.5,131,10,12.8,139,3.9,1.79,0.385,14.75,1.41,86.2,0.59,7.9,3,17.1,22.5,0.12,0.001,226,49.7,390,1.3,8.6,0.1,0.74,48,0.41,7.6,26.4,3.37,2.67,2.8,0.11,29.7,5.14,331,9.16,18,0.5,63.9,0.33,0.07,15.35,1.26,1190,0.013,39.3,8.21,0.84,White mica,D
169.0459418,-46.41954264,96.4,342,9.9,12.4,120,3.9,1.26,0.351,15.45,1.7,62.2,0.53,7,4,15.6,17.45,0.19,0.001,153.5,327,470,2.3,7.5,0.09,2.11,68,0.43,13.5,20.8,2.58,4.9,2.4,0.08,28.2,4.55,289,7.3,18,1,43.6,0.61,0.06,21.9,0.93,1230,0.053,32.8,7.54,4.77,White mica,D
168.9878697,-46.24309248,94.4,382,7.9,5.4,130,3.2,1.24,0.381,14.2,3.24,60.2,0.59,7.2,4,15.2,39.7,0.24,0.001,143.5,83.5,440,1.1,8.5,0.1,0.33,60,0.38,9.5,16.1,2.47,4.72,2.4,0.09,26.8,6.34,338,10.95,18,1.2,31.1,0.65,0.06,21.1,0.92,1030,0.018,46.8,7.04,4.24,White mica,D
168.8333109,-46.4755596,81.6,361,8.2,6.4,127,3.5,0.94,0.378,16,2.47,148.5,0.56,6.1,4,14.4,30.2,0.32,0.001,116,74.2,770,2.4,8.1,0.08,0.31,61,0.41,14.8,31.6,1.84,7.17,2.2,0.1,24.7,7.04,356,17.75,19,1.1,66.3,0.8,0.09,14.35,1.11,800,0.039,55.2,6.79,1.91,White mica,D
169.5759879,-46.50549659,87.3,132,6.6,6,142,3,1.69,0.339,11.1,2.28,42.2,0.53,6.9,4,14.5,59.8,0.56,0.001,177.5,59.2,390,0.7,7.3,0.14,0.16,51,0.32,8.2,17.2,2.91,2.84,2.2,0.09,23.7,6.34,208,20.4,16,0.4,34.3,0.49,0.06,13.65,0.84,1020,0.041,68.3,6.78,2.91,White mica,D
168.9436531,-46.16767923,80.9,21,6.7,5.5,113,2.6,1.86,0.261,10.85,1.96,43.5,0.4,6,3,15.6,136.5,0.84,0.001,221,9.7,290,0.2,5.3,0.17,0.23,41,0.33,5.2,22.1,3.85,0.967,2.1,0.1,24.2,3.35,61.2,11.55,12,0.4,41.5,0.21,0.06,6.81,0.93,1080,0.018,45.9,7.59,2.63,White mica,D
168.8651895,-46.5074419,67.2,226,3.8,12.7,108,3.9,1.8,0.395,15.85,0.79,62,0.58,3.2,1,12.7,30,0.56,0.001,208,13.4,570,2.9,7.4,0.19,0.19,33,0.33,22.4,21.7,2.32,1.775,1.9,0.08,22.2,4.51,249,33.6,16,0.7,43,0.69,0.07,3.03,1.16,670,0.014,58.3,7.89,1.3,White mica,D
169.4178715,-46.45823618,69.9,56,5.8,9,117,2.2,1.95,0.353,9.88,1.63,53.5,0.5,5.3,2,14.9,259,0.71,0.001,247,14.9,330,0.3,6.7,0.16,0.17,44,0.37,6,32.2,3.65,0.525,1.9,0.11,22.9,3.04,93.1,15.7,11,0.4,61.9,0.43,0.07,5.67,1.16,950,0.014,60.4,7.76,1.82,White mica,D
168.996062,-46.56794082,66.9,75,4.3,4,131,1.9,1.9,0.335,9.93,2.5,51.9,0.45,4.9,3,16.3,41.8,1.3,0.001,234,12.5,350,0.3,5.6,0.23,0.34,62,0.41,4.6,19.3,3.89,0.328,1.8,0.11,23.4,3.82,66.7,8.89,12,0.9,35.9,0.63,0.06,6.46,0.88,1150,0.01,21,7.76,0.59,White mica,D
169.0322157,-46.49711433,59.4,140,11,7,112,3,1.99,0.342,19.25,1.55,107.5,0.49,4.5,4,15.6,64.4,2.71,0.001,236,6.7,500,3.3,6.8,0.19,0.6,68,0.45,9.1,35,3.29,0.31,1.6,0.13,30.5,3.82,313,12,12,6.5,71.4,0.97,0.07,4.21,1.18,790,0.011,27.9,7.6,0.79,White mica,D
169.058526,-46.28796994,72,193,10.7,24.8,140,3.6,1.96,0.343,16.1,0.57,88.8,0.51,14.6,4,16.1,178,1.6,0.001,233,7.6,470,4.8,6.7,0.13,1.01,62,0.41,41.2,26.8,3.28,0.417,1.9,0.12,24,3.59,926,20.1,18,5.4,59.1,0.94,0.07,22.6,1.53,840,0.014,183,9.01,3.14,White mica,D
169.1389553,-46.29768938,73.9,46,8,9.7,120,2.8,1.98,0.228,11.7,0.38,61.5,0.35,8.9,6,16.3,382,0.97,0.001,218,3.4,380,0.7,3.7,0.18,0.64,27,0.26,5.4,26.1,3.51,0.147,2,0.12,22.2,3.14,268,7.72,10,1.3,51,0.32,0.19,6.94,0.95,840,0.009,187.5,7.91,1.8,White mica,D
169.0340907,-46.53049257,72.9,51,8.5,13.6,137,2.9,1.99,0.279,13.4,0.53,46.1,0.37,11.7,6,15.5,291,1.59,0.001,224,3.4,330,2.2,4.2,0.14,1.36,77,0.63,20.3,26.1,3.42,0.214,2,0.12,23.2,3.77,1405,8.98,15,5.5,52.4,0.15,0.26,7,1.17,890,0.14,126.5,8.52,1.21,White mica,D
169.2060339,-46.59118448,68.8,30,8.9,6.1,140,3,2.16,0.217,20.1,0.6,43.3,0.29,7,4,16,525,1.12,0.001,229,5.2,530,2.1,3.1,0.14,0.51,35,0.37,13.5,29.9,3.45,0.25,1.8,0.15,26.9,4.42,1230,8,18,3.6,63.3,0.07,0.11,5.08,1.14,920,0.014,167.5,8.55,1.75,White mica,D
169.2518735,-46.27587452,64.8,45,11.5,11,117,3.8,1.87,0.275,16.65,1.05,44.4,0.38,6.1,3,15.8,410,5.36,0.001,205,3.9,650,9.1,4.8,0.14,0.5,37,0.56,27.7,25.9,3.29,0.369,1.7,0.14,22.3,4.38,3660,8.83,18,20,59.3,0.16,0.11,4.69,1.39,310,0.01,180.5,9.05,1.34,White mica,D
169.1016057,-46.3777267,65.3,68,9,7,44,3.1,1.39,0.185,12.45,2.75,22.6,0.24,5.8,4,13.8,86.9,8.57,0.001,164,7.9,230,6.3,2.8,0.09,0.15,54,1.12,9.2,22,3.3,0.215,1.7,0.11,18.2,7.65,763,6.62,19,18.3,47.7,0.26,0.07,6.95,1.08,110,0.021,68.2,8.36,0.95,White mica,D
169.0857856,-46.56298128,51.8,45,7.9,7.1,75,2.5,1.3,0.195,10.9,3.79,18,0.25,7.2,5,13.8,76.7,9.68,0.001,162,9.6,250,6,2.9,0.08,0.3,58,0.88,11,19.7,3.08,0.203,1.4,0.1,13.7,8.63,759,3.68,17,16,42.1,0.22,0.07,11.05,1.16,80,0.021,65.9,7.9,1.03,White mica,D
169.2265255,-46.51646064,49.2,35,8,6.3,111,2.8,1.64,0.216,12.6,3.59,16.6,0.28,5,5,14.8,6.86,10.1,0.001,199.5,9.3,700,7.4,3.3,0.09,0.42,43,0.49,5.8,18.3,3.5,0.229,1.3,0.12,18.65,8.94,1160,5.57,18,17.8,42,0.16,0.11,7.34,0.98,80,0.017,20.8,8.36,0.44,White mica,D
168.935635,-46.39356535,60.1,82,8.9,7.1,121,3,1.81,0.234,14.2,3.58,15.7,0.31,8.1,5,16.8,74.7,9.08,0.001,215,22.5,770,7.7,3.7,0.09,0.55,46,0.45,6.8,32.5,3.6,0.289,1.6,0.14,23,8.06,1020,5.63,18,18.5,73.6,0.58,0.11,8.32,0.87,90,0.02,63.3,8.4,1.1,White mica,D
169.0166683,-46.57984233,66.9,50,8.3,4.9,132,3.2,1.5,0.217,11.65,2.63,13.2,0.27,4.3,4,15.4,12.25,9.18,0.001,195.5,8.3,210,7.4,3.2,0.09,0.28,68,0.95,9.4,23.3,3.47,0.192,1.7,0.12,19.85,8.18,640,3.71,18,19.3,48.4,0.17,0.06,5.76,1.04,100,0.023,20.8,8.88,0.54,White mica,D
169.3074593,-46.25971829,61.7,52,6.9,6.1,132,3.1,1.68,0.193,10.45,5.17,19.4,0.26,5.5,5,15,175.5,8.68,0.001,186.5,6.5,210,6.4,3,0.09,0.8,66,0.97,8.5,18.2,3.2,0.243,1.5,0.12,20.7,7.68,3330,4.54,16,17.3,38.8,0.29,0.07,11.95,0.97,80,0.029,416,7.86,1.42,White mica,D
168.9790468,-46.16381988,67.8,46,6.1,4.6,118,3.7,1.72,0.194,10,4.12,30.8,0.27,3.7,4,13.6,193,7.5,0.001,163.5,6.1,190,7.5,3.2,0.11,0.44,100,2,11.5,13.2,3.09,0.282,1.8,0.09,23,6.64,2070,1.9,16,18.2,29.1,0.46,0.08,10.5,1.26,160,0.034,195.5,8.4,1.25,White mica,D
168.8472889,-46.58530469,56.7,141,7.3,5.3,133,3.7,1.53,0.185,11.65,3.98,31.7,0.24,5.4,5,15.9,465,8.06,0.001,166.5,7,800,7.1,2.9,0.09,0.49,86,1.47,9.9,20.8,2.93,0.283,1.4,0.11,21.4,7.06,2270,2.87,15,16.4,44,0.84,0.23,9.76,1.26,90,0.021,264,7.93,3.39,White mica,D
169.3251709,-46.55796365,70.2,51,7.9,4.4,149,5.2,1.61,0.259,11.6,2.62,19,0.34,5.9,3,17.3,101,7.96,0.001,171,4.7,360,6.9,4,0.1,0.57,110,2.18,10.9,15.9,3.46,0.205,1.8,0.1,26.6,7.17,390,2.42,17,19.2,35.2,0.33,0.2,6.06,1.24,100,0.032,52,8.75,0.65,White mica,D
168.8798103,-46.42010315,67.9,36,7.5,4.8,147,4.3,1.69,0.251,12.25,4.03,15.3,0.31,5,4,16.8,5.64,8.12,0.001,207,5.2,180,6.4,3.6,0.09,0.42,78,1.26,7.7,18,3.6,0.262,1.8,0.1,23.7,7.17,37.4,3.55,17,18.4,38.3,0.11,0.33,8.55,1.18,120,0.047,23.2,8.47,0.81,White mica,D
169.2663937,-46.23566918,52.8,73,7.8,4.6,127,4.5,1.42,0.205,10.8,3.8,11.7,0.25,5.3,6,14.4,88.9,8.97,0.001,171.5,70.3,300,5.9,3,0.08,0.24,75,1.38,7.5,18,3.27,0.171,1.4,0.11,21.4,8.08,327,2.88,15,15.1,39.1,0.55,0.11,12.75,1.27,50,0.054,46,7.79,0.76,White mica,D
169.2622046,-46.43060549,50.8,35,7.5,5.2,126,4.5,1.41,0.233,8.69,2.99,10.2,0.31,5.9,6,14.3,22.8,10.1,0.001,152.5,5.7,520,9,3.7,0.07,0.56,73,1.04,5.6,9.4,3.08,0.149,1.4,0.11,20.8,10.6,133,3.24,17,18.9,23.2,0.17,0.11,8.23,0.83,30,0.022,18.4,7.29,0.8,White mica,D
