HoleID,Project,Depth,Priority,Alpha,Beta,StructType
AA001,Atamai,300.9,1,45,15,ZA
AA001,Atamai,311.3,1,45,325,VN
AA001,Atamai,334.95,1,60,320,VN
AA001,Atamai,349.7,1,65,340,VN
AA001,Atamai,356.4,1,60,345,VN
AA001,Atamai,361.85,1,50,340,VN
AA001,Atamai,362.75,1,65,355,VN
AA001,Atamai,368.85,1,40,330,VN
AA001,Atamai,376.09,1,65,355,VN
AA001,Atamai,385.9,1,50,340,VN
AA001,Atamai,396.7,1,65,300,AZ
AA001,Atamai,15.4,1,30,90,BD
AA001,Atamai,160,1,28,103,BD
AA001,Atamai,35,1,37,96,BD
AA001,Atamai,150,1,31,111,BD
AA001,Atamai,157,1,36,93,BD
AA001,Atamai,240,1,26,98,BD
AA001,Atamai,248,1,24,92,BD
AA001,Atamai,320,1,36,109,BD
AA001,Atamai,13,1,35,95,BD
AA001,Atamai,67,1,37,90,BD
AA001,Atamai,58,1,40,114,BD
AA001,Atamai,41,1,34,114,BD
AA001,Atamai,130,1,40,100,BD
